Model,Mean Error,Anomaly Percentage,Anomaly Threshold
LSTM_TestNumber146_Completeness0.98_SequenceLength1388_Horizon3_WindowSize48.pt,0.26517711486193996,0.3527336860670194,1.7
LSTM_TestNumber147_Completeness0.98_SequenceLength1388_Horizon3_WindowSize96.pt,0.22955579557413713,0.4434589800443459,1.6
LSTM_TestNumber149_Completeness0.98_SequenceLength1388_Horizon6_WindowSize3.pt,0.3468355654535144,0.307152259763054,2.2
LSTM_TestNumber14_Completeness1_SequenceLength216_Horizon6_WindowSize96.pt,0.5812698315372613,0.10350436196954013,4.2
LSTM_TestNumber150_Completeness0.98_SequenceLength1388_Horizon6_WindowSize6.pt,0.33149001636843184,0.33650329188002925,2.2
LSTM_TestNumber151_Completeness0.98_SequenceLength1388_Horizon6_WindowSize12.pt,0.2851604783644296,0.3806734992679356,2.0
LSTM_TestNumber152_Completeness0.98_SequenceLength1388_Horizon6_WindowSize24.pt,0.38063581806362506,0.23460410557184752,2.2
LSTM_TestNumber153_Completeness0.98_SequenceLength1388_Horizon6_WindowSize48.pt,0.27841324665423284,0.2940744008234083,2.1
LSTM_TestNumber154_Completeness0.98_SequenceLength1388_Horizon6_WindowSize96.pt,0.27918735199033473,0.32529942333284045,2.2
LSTM_TestNumber156_Completeness0.98_SequenceLength1388_Horizon12_WindowSize3.pt,0.5863298826248449,0.043911007025761124,3.0
LSTM_TestNumber157_Completeness0.98_SequenceLength1388_Horizon12_WindowSize6.pt,0.44413277587924493,0.13177159590043924,2.9
LSTM_TestNumber158_Completeness0.98_SequenceLength1388_Horizon12_WindowSize12.pt,0.38470805133924474,0.16117216117216118,2.5
LSTM_TestNumber159_Completeness0.98_SequenceLength1388_Horizon12_WindowSize24.pt,0.36115009388926206,0.13204225352112675,2.4
LSTM_TestNumber160_Completeness0.98_SequenceLength1388_Horizon12_WindowSize48.pt,0.6288949812413376,0.0,3.1
LSTM_TestNumber161_Completeness0.98_SequenceLength1388_Horizon12_WindowSize96.pt,0.5072025961128377,0.014797277300976621,2.7
LSTM_TestNumber163_Completeness0.98_SequenceLength1388_Horizon24_WindowSize3.pt,0.7238677886826929,0.04396892862377254,3.7
LSTM_TestNumber164_Completeness0.98_SequenceLength1388_Horizon24_WindowSize6.pt,0.5850002430802871,0.08797653958944282,3.4
LSTM_TestNumber165_Completeness0.98_SequenceLength1388_Horizon24_WindowSize12.pt,0.5346864870937806,0.07335680751173708,3.0
LSTM_TestNumber166_Completeness0.98_SequenceLength1388_Horizon24_WindowSize24.pt,0.48563005887603944,0.0,2.9
LSTM_TestNumber167_Completeness0.98_SequenceLength1388_Horizon24_WindowSize48.pt,0.551350818630405,0.0,3.5
LSTM_TestNumber168_Completeness0.98_SequenceLength1388_Horizon24_WindowSize96.pt,0.5574310369014233,0.0,3.9
LSTM_TestNumber16_Completeness1_SequenceLength216_Horizon12_WindowSize3.pt,0.66209740669934,0.043911007025761124,3.8
LSTM_TestNumber170_Completeness0.98_SequenceLength2082_Horizon3_WindowSize3.pt,0.22785600778876783,0.42397660818713445,1.6
LSTM_TestNumber171_Completeness0.98_SequenceLength2082_Horizon3_WindowSize6.pt,0.22612299562131533,0.5119204329384233,1.6
LSTM_TestNumber172_Completeness0.98_SequenceLength2082_Horizon3_WindowSize12.pt,0.20761628379460512,0.5854800936768151,1.5
LSTM_TestNumber173_Completeness0.98_SequenceLength2082_Horizon3_WindowSize24.pt,0.20230532415821273,0.5569397625677854,1.4
LSTM_TestNumber174_Completeness0.98_SequenceLength2082_Horizon3_WindowSize48.pt,0.21868304864990945,0.411522633744856,1.6
LSTM_TestNumber175_Completeness0.98_SequenceLength2082_Horizon3_WindowSize96.pt,0.204313693413881,0.532150776053215,1.5
LSTM_TestNumber177_Completeness0.98_SequenceLength2082_Horizon6_WindowSize3.pt,0.3570037514294866,0.21939447125932426,2.3
LSTM_TestNumber178_Completeness0.98_SequenceLength2082_Horizon6_WindowSize6.pt,0.3128185264474706,0.33650329188002925,2.2
LSTM_TestNumber179_Completeness0.98_SequenceLength2082_Horizon6_WindowSize12.pt,0.27035334838629443,0.3953147877013177,2.0
LSTM_TestNumber17_Completeness1_SequenceLength216_Horizon12_WindowSize6.pt,0.6929115693101529,0.014641288433382138,4.0
LSTM_TestNumber180_Completeness0.98_SequenceLength2082_Horizon6_WindowSize24.pt,0.26243044598536197,0.46920821114369504,1.8
LSTM_TestNumber181_Completeness0.98_SequenceLength2082_Horizon6_WindowSize48.pt,0.3225508246853965,0.4117041611527716,2.2
LSTM_TestNumber182_Completeness0.98_SequenceLength2082_Horizon6_WindowSize96.pt,0.37313505678732006,0.23658139878752033,2.4
LSTM_TestNumber184_Completeness0.98_SequenceLength2082_Horizon12_WindowSize3.pt,0.5485043661686142,0.08782201405152225,3.0
LSTM_TestNumber185_Completeness0.98_SequenceLength2082_Horizon12_WindowSize6.pt,0.46695591917835755,0.07320644216691069,2.9
LSTM_TestNumber186_Completeness0.98_SequenceLength2082_Horizon12_WindowSize12.pt,0.402878800243892,0.1758241758241758,2.6
LSTM_TestNumber187_Completeness0.98_SequenceLength2082_Horizon12_WindowSize24.pt,0.4236806855358763,0.07335680751173708,2.3
LSTM_TestNumber188_Completeness0.98_SequenceLength2082_Horizon12_WindowSize48.pt,0.3850696787046046,0.014714537963507945,2.8
LSTM_TestNumber189_Completeness0.98_SequenceLength2082_Horizon12_WindowSize96.pt,0.40448850647456436,0.059189109203906486,2.3
LSTM_TestNumber18_Completeness1_SequenceLength216_Horizon12_WindowSize12.pt,0.69492651190486,0.0,3.7
LSTM_TestNumber191_Completeness0.98_SequenceLength2082_Horizon24_WindowSize3.pt,0.7142958194719254,0.08793785724754508,3.7
LSTM_TestNumber192_Completeness0.98_SequenceLength2082_Horizon24_WindowSize6.pt,0.7541361419426684,0.0,3.5
LSTM_TestNumber193_Completeness0.98_SequenceLength2082_Horizon24_WindowSize12.pt,0.5120078078818251,0.05868544600938967,3.1
LSTM_TestNumber194_Completeness0.98_SequenceLength2082_Horizon24_WindowSize24.pt,0.4767518783542136,0.0,3.0
LSTM_TestNumber195_Completeness0.98_SequenceLength2082_Horizon24_WindowSize48.pt,0.518512010098113,0.0,3.5
LSTM_TestNumber196_Completeness0.98_SequenceLength2082_Horizon24_WindowSize96.pt,0.48136572903128505,0.0,3.0
LSTM_TestNumber198_Completeness0.98_SequenceLength2776_Horizon3_WindowSize3.pt,0.22722952645243438,0.42397660818713445,1.6
LSTM_TestNumber199_Completeness0.98_SequenceLength2776_Horizon3_WindowSize6.pt,0.22492978764349675,0.45341524060260346,1.6
LSTM_TestNumber19_Completeness1_SequenceLength216_Horizon12_WindowSize24.pt,0.6699137471959207,0.0,3.8
