,dt,value,veh_class,location,category,key,date,time,hour-minutes,year-month-day-hour,year-month-hour,month-hour,year-month,day_of_week-hour-minutes,year-week,hours_since_midnight,minutes_since_midnight,year-quarter,month,quarter,day_in_week,day_of_week
190,2021-12-04 16:15:00,1044,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 16:15:00,16:15,2021-12-04 16,2021-12 16,12 16,2021-12,Saturday 16:15,2021-48,16,975,2021-4,12,4,5,Saturday
30574,2022-12-23 15:45:00,1043,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-23,1900-01-01 15:45:00,15:45,2022-12-23 15,2022-12 15,12 15,2022-12,Friday 15:45,2022-51,15,945,2022-4,12,4,4,Friday
30568,2022-12-23 14:15:00,1039,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-23,1900-01-01 14:15:00,14:15,2022-12-23 14,2022-12 14,12 14,2022-12,Friday 14:15,2022-51,14,855,2022-4,12,4,4,Friday
30935,2022-12-27 15:15:00,1034,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-27,1900-01-01 15:15:00,15:15,2022-12-27 15,2022-12 15,12 15,2022-12,Tuesday 15:15,2022-52,15,915,2022-4,12,4,1,Tuesday
187,2021-12-04 15:30:00,1034,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 15:30:00,15:30,2021-12-04 15,2021-12 15,12 15,2021-12,Saturday 15:30,2021-48,15,930,2021-4,12,4,5,Saturday
1036,2021-12-18 15:30:00,1031,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-18,1900-01-01 15:30:00,15:30,2021-12-18 15,2021-12 15,12 15,2021-12,Saturday 15:30,2021-50,15,930,2021-4,12,4,5,Saturday
30049,2022-12-17 14:15:00,1029,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 14:15:00,14:15,2022-12-17 14,2022-12 14,12 14,2022-12,Saturday 14:15,2022-50,14,855,2022-4,12,4,5,Saturday
28044,2022-11-26 12:45:00,1025,person,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 12:45:00,12:45,2022-11-26 12,2022-11 12,11 12,2022-11,Saturday 12:45,2022-47,12,765,2022-4,11,4,5,Saturday
30564,2022-12-23 13:15:00,1025,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-23,1900-01-01 13:15:00,13:15,2022-12-23 13,2022-12 13,12 13,2022-12,Friday 13:15,2022-51,13,795,2022-4,12,4,4,Friday
28045,2022-11-26 13:00:00,1022,person,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 13:00:00,13:00,2022-11-26 13,2022-11 13,11 13,2022-11,Saturday 13:00,2022-47,13,780,2022-4,11,4,5,Saturday
184,2021-12-04 14:45:00,1022,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 14:45:00,14:45,2021-12-04 14,2021-12 14,12 14,2021-12,Saturday 14:45,2021-48,14,885,2021-4,12,4,5,Saturday
30562,2022-12-23 12:45:00,1016,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-23,1900-01-01 12:45:00,12:45,2022-12-23 12,2022-12 12,12 12,2022-12,Friday 12:45,2022-51,12,765,2022-4,12,4,4,Friday
30047,2022-12-17 13:45:00,1015,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 13:45:00,13:45,2022-12-17 13,2022-12 13,12 13,2022-12,Saturday 13:45,2022-50,13,825,2022-4,12,4,5,Saturday
1033,2021-12-18 14:45:00,1008,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-18,1900-01-01 14:45:00,14:45,2021-12-18 14,2021-12 14,12 14,2021-12,Saturday 14:45,2021-50,14,885,2021-4,12,4,5,Saturday
28723,2022-12-03 14:45:00,1006,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-03,1900-01-01 14:45:00,14:45,2022-12-03 14,2022-12 14,12 14,2022-12,Saturday 14:45,2022-48,14,885,2022-4,12,4,5,Saturday
8023,2022-03-07 18:00:00,999,person,NclNorthumberlandStSavilleRowEast,flow,2022-03,2022-03-07,1900-01-01 18:00:00,18:00,2022-03-07 18,2022-03 18,03 18,2022-03,Monday 18:00,2022-10,18,1080,2022-1,3,1,0,Monday
30931,2022-12-27 14:15:00,995,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-27,1900-01-01 14:15:00,14:15,2022-12-27 14,2022-12 14,12 14,2022-12,Tuesday 14:15,2022-52,14,855,2022-4,12,4,1,Tuesday
1215,2021-12-20 13:15:00,994,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-20,1900-01-01 13:15:00,13:15,2021-12-20 13,2021-12 13,12 13,2021-12,Monday 13:15,2021-51,13,795,2021-4,12,4,0,Monday
31031,2022-12-28 15:30:00,993,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-28,1900-01-01 15:30:00,15:30,2022-12-28 15,2022-12 15,12 15,2022-12,Wednesday 15:30,2022-52,15,930,2022-4,12,4,2,Wednesday
27381,2022-11-19 12:30:00,990,person,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-19,1900-01-01 12:30:00,12:30,2022-11-19 12,2022-11 12,11 12,2022-11,Saturday 12:30,2022-46,12,750,2022-4,11,4,5,Saturday
1032,2021-12-18 14:30:00,990,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-18,1900-01-01 14:30:00,14:30,2021-12-18 14,2021-12 14,12 14,2021-12,Saturday 14:30,2021-50,14,870,2021-4,12,4,5,Saturday
30057,2022-12-17 16:15:00,989,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 16:15:00,16:15,2022-12-17 16,2022-12 16,12 16,2022-12,Saturday 16:15,2022-50,16,975,2022-4,12,4,5,Saturday
30045,2022-12-17 13:15:00,988,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 13:15:00,13:15,2022-12-17 13,2022-12 13,12 13,2022-12,Saturday 13:15,2022-50,13,795,2022-4,12,4,5,Saturday
1858,2021-12-27 13:30:00,988,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-27,1900-01-01 13:30:00,13:30,2021-12-27 13,2021-12 13,12 13,2021-12,Monday 13:30,2021-52,13,810,2021-4,12,4,0,Monday
1862,2021-12-27 14:30:00,988,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-27,1900-01-01 14:30:00,14:30,2021-12-27 14,2021-12 14,12 14,2021-12,Monday 14:30,2021-52,14,870,2021-4,12,4,0,Monday
30571,2022-12-23 15:00:00,987,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-23,1900-01-01 15:00:00,15:00,2022-12-23 15,2022-12 15,12 15,2022-12,Friday 15:00,2022-51,15,900,2022-4,12,4,4,Friday
31027,2022-12-28 14:30:00,985,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-28,1900-01-01 14:30:00,14:30,2022-12-28 14,2022-12 14,12 14,2022-12,Wednesday 14:30,2022-52,14,870,2022-4,12,4,2,Wednesday
1039,2021-12-18 16:15:00,985,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-18,1900-01-01 16:15:00,16:15,2021-12-18 16,2021-12 16,12 16,2021-12,Saturday 16:15,2021-50,16,975,2021-4,12,4,5,Saturday
30566,2022-12-23 13:45:00,980,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-23,1900-01-01 13:45:00,13:45,2022-12-23 13,2022-12 13,12 13,2022-12,Friday 13:45,2022-51,13,825,2022-4,12,4,4,Friday
1214,2021-12-20 13:00:00,975,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-20,1900-01-01 13:00:00,13:00,2021-12-20 13,2021-12 13,12 13,2021-12,Monday 13:00,2021-51,13,780,2021-4,12,4,0,Monday
29480,2022-12-11 15:15:00,975,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-11,1900-01-01 15:15:00,15:15,2022-12-11 15,2022-12 15,12 15,2022-12,Sunday 15:15,2022-50,15,915,2022-4,12,4,6,Sunday
38649,2023-03-18 14:30:00,974,person,NclNorthumberlandStSavilleRowEast,flow,2023-03,2023-03-18,1900-01-01 14:30:00,14:30,2023-03-18 14,2023-03 14,03 14,2023-03,Saturday 14:30,2023-11,14,870,2023-1,3,1,5,Saturday
175,2021-12-04 12:15:00,973,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 12:15:00,12:15,2021-12-04 12,2021-12 12,12 12,2021-12,Saturday 12:15,2021-48,12,735,2021-4,12,4,5,Saturday
37979,2023-03-11 14:30:00,973,person,NclNorthumberlandStSavilleRowEast,flow,2023-03,2023-03-11,1900-01-01 14:30:00,14:30,2023-03-11 14,2023-03 14,03 14,2023-03,Saturday 14:30,2023-10,14,870,2023-1,3,1,5,Saturday
28043,2022-11-26 12:30:00,972,person,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 12:30:00,12:30,2022-11-26 12,2022-11 12,11 12,2022-11,Saturday 12:30,2022-47,12,750,2022-4,11,4,5,Saturday
26628,2022-11-10 13:30:00,971,person,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-10,1900-01-01 13:30:00,13:30,2022-11-10 13,2022-11 13,11 13,2022-11,Thursday 13:30,2022-45,13,810,2022-4,11,4,3,Thursday
30932,2022-12-27 14:30:00,969,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-27,1900-01-01 14:30:00,14:30,2022-12-27 14,2022-12 14,12 14,2022-12,Tuesday 14:30,2022-52,14,870,2022-4,12,4,1,Tuesday
