Model,Mean Error,Anomaly Percentage,Anomaly Threshold
LSTM_TestNumber49_Completeness1_SequenceLength432_Horizon3_WindowSize96.pt,0.4693870596941351,0.3843311160384331,2.4
LSTM_TestNumber4_Completeness1_SequenceLength216_Horizon1_WindowSize12.pt,0.7804006392064163,0.0,2.8
LSTM_TestNumber51_Completeness1_SequenceLength432_Horizon6_WindowSize3.pt,0.8702738793482119,0.0,4.1
LSTM_TestNumber52_Completeness1_SequenceLength432_Horizon6_WindowSize6.pt,1.542930216592811,0.08778346744696415,7.3
LSTM_TestNumber53_Completeness1_SequenceLength432_Horizon6_WindowSize12.pt,1.0961318856966638,0.541727672035139,5.7
LSTM_TestNumber54_Completeness1_SequenceLength432_Horizon6_WindowSize24.pt,0.8219866797637962,0.689149560117302,4.3
LSTM_TestNumber55_Completeness1_SequenceLength432_Horizon6_WindowSize48.pt,0.6891189032900967,0.2793706807822379,2.7
LSTM_TestNumber56_Completeness1_SequenceLength432_Horizon6_WindowSize96.pt,0.6867690662906472,0.22179506136330032,4.5
LSTM_TestNumber58_Completeness1_SequenceLength432_Horizon12_WindowSize3.pt,0.8156785249762099,0.10245901639344264,3.8
LSTM_TestNumber59_Completeness1_SequenceLength432_Horizon12_WindowSize6.pt,0.74073920745307,0.07320644216691069,3.4
LSTM_TestNumber5_Completeness1_SequenceLength216_Horizon1_WindowSize24.pt,0.5883500439019493,0.07327080890973037,2.6
LSTM_TestNumber60_Completeness1_SequenceLength432_Horizon12_WindowSize12.pt,1.201075896680351,0.7472527472527473,6.8
LSTM_TestNumber61_Completeness1_SequenceLength432_Horizon12_WindowSize24.pt,1.1197666327325717,0.0,5.3
LSTM_TestNumber62_Completeness1_SequenceLength432_Horizon12_WindowSize48.pt,1.0318810915271837,0.02942907592701589,3.7
